Payment Method,Pt Amount,From Country,Institute
International Bank Transfer in Norwegian Krone (NOK),"kr82.097,00",Åland Islands,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Åland Islands,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.810,00 €",Albania,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in DZD,"1,238,700.00 ?.?",Algeria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Algeria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.810,00 €",Algeria,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in EUR,"8.896,00 €",Algeria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",American Samoa,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.809,00 €",Andorra,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in EUR,"8.894,00 €",Andorra,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in AOA,"2,584,500.00 Kz",Angola,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Angola,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in South African Rand (ZAR),"R140,243.00",Angola,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in British Pounds (GBP),"£7,749.00",Angola,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.806,00 €",Angola,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in EUR,"8.891,00 €",Angola,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in XCD,"$28,500.00",Anguilla,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in XCD,"$28,500.00",Anguilla,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Anguilla,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Antarctica,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XCD,"$28,500.00",Antigua and Barbuda,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Antigua and Barbuda,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in ARS,"$284.599,00",Argentina,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Argentina,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in AUD (EFT),"A$13,900.00",Australia,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in AUD,"A$14,160.00",Australia,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in AUD,"A$14,160.00",Australia,SUNY Jamestown Community College - FSA Residence Life
American Express in AUD,"A$14,160.00",Australia,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.800,00 €",Austria,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.885,00 €",Austria,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.971,00 €",Austria,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.800,00 €",Austria,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in EUR,"8.885,00 €",Austria,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in AZN,"???17,929.00",Azerbaijan,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Azerbaijan,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BSD,"$10,538.00",Bahamas,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahamas,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Canadian Dollars (CAD),"$13,642.00",Bahamas,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BHD,"?.?3,962.100",Bahrain,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Bahrain,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BDT,"?888,050.00",Bangladesh,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Bangladesh,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BBD,"21,075.00 $",Barbados,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Barbados,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Canadian Dollars (CAD),"$13,640.00",Barbados,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Belarus,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in EUR,"8.883,00 €",Belarus,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.797,00 €",Belgium,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.882,00 €",Belgium,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.968,00 €",Belgium,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.797,00 €",Belgium,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in EUR,"8.882,00 €",Belgium,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BZD,"$21,200.00",Belize,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Belize,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Mexican Pesos (MXN),"$207,264.00",Belize,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XOF,"5,914,700.00 CFA",Benin,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Benin,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BMD,"$10,538.00",Bermuda,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Bermuda,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BOB,"Bs72,676.00","Bolivia, Plurinational State of",SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00","Bolivia, Plurinational State of",SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00","Bonaire, Saint Eustatius and Saba",SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BWP,"P108,800.00",Botswana,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Botswana,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in South African Rand (ZAR),"R140,006.00",Botswana,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in British Pounds (GBP),"£7,756.00",Botswana,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in NOK,"kr84.299,00",Bouvet Island,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in NOK,"kr84.299,00",Bouvet Island,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Norwegian Krone (NOK),"kr82.017,00",Bouvet Island,SUNY Jamestown Community College - FSA Residence Life
Pagamento com Débito em Conta,"R$42.702,00",Brazil,SUNY Jamestown Community College - FSA Residence Life
Cartão de Crédito/Débito em Reais,"R$42.702,00",Brazil,SUNY Jamestown Community College - FSA Residence Life
Boleto,"R$41.990,00",Brazil,SUNY Jamestown Community College - FSA Residence Life
Pagamento Parcelado via Cartão de Crédito em Reais,"R$42.702,00",Brazil,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BND,"$14,400.00",Brunei Darussalam,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in SGD,"S$14,281.00",Brunei Darussalam,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in SGD,"S$14,281.00",Brunei Darussalam,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Brunei Darussalam,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in BGN,"??17,638.00",Bulgaria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Bulgaria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in British Pounds (GBP),"£7,756.00",Bulgaria,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.801,00 €",Bulgaria,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XOF,"5,915,400.00 CFA",Burkina Faso,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Burkina Faso,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in KHR,"42,752,000.00 ?",Cambodia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Cambodia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XAF,"5,915,400.00 Fr",Cameroon,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Cameroon,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Canadian Dollars,"$13,640.00",Canada,SUNY Jamestown Community College - FSA Residence Life
Online Bill Pay,"$13,640.00",Canada,SUNY Jamestown Community College - FSA Residence Life
American Express in CAD,"$13,941.00",Canada,SUNY Jamestown Community College - FSA Residence Life
PayPal in CAD,"$13,854.00",Canada,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in CAD,"$13,941.00",Canada,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in KHR,"42,782,000.00 ?",Cambodia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Cambodia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XAF,"5,907,500.00 Fr",Cameroon,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Cameroon,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Canadian Dollars,"$13,638.00",Canada,SUNY Jamestown Community College - FSA Residence Life
Online Bill Pay,"$13,638.00",Canada,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in CAD,"$13,938.00",Canada,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in CAD,"$13,938.00",Canada,SUNY Jamestown Community College - FSA Residence Life
American Express in CAD,"$13,938.00",Canada,SUNY Jamestown Community College - FSA Residence Life
PayPal in CAD,"$13,851.00",Canada,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XAF,"5,906,400.00 Fr",Central African Republic,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Central African Republic,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XAF,"5,906,400.00 Fr",Chad,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Chad,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in GBP,"£7,819.00",British Indian Ocean Territory,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in GBP,"£7,819.00",British Indian Ocean Territory,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",British Indian Ocean Territory,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in CLP,$6.740.000,Chile,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Chile,SUNY Jamestown Community College - FSA Residence Life
?????????? Domestic RMB Transfer ????????????,"CNY66,493.00",China,SUNY Jamestown Community College - FSA Residence Life
??? - (Alipay.com),"CNY66,493.00",China,SUNY Jamestown Community College - FSA Residence Life
??? – (UnionPay),"CNY66,493.00",China,SUNY Jamestown Community College - FSA Residence Life
???? eBanking ????????????,"CNY66,826.00",China,SUNY Jamestown Community College - FSA Residence Life
MasterCard in RMB,"CNY69,012.00",China,SUNY Jamestown Community College - FSA Residence Life
VISA in RMB,"CNY69,012.00",China,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in AUD,"A$14,160.00",Christmas Island,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in AUD,"A$14,160.00",Christmas Island,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Christmas Island,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,786.00",Christmas Island,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in AUD,"A$14,160.00",Cocos (Keeling) Islands,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in AUD,"A$14,160.00",Cocos (Keeling) Islands,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Cocos (Keeling) Islands,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,786.00",Cocos (Keeling) Islands,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in COP,"COL$30.753.000,00",Colombia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Colombia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XAF,"5,906,500.00 Fr",Congo,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Congo,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in South African Rand (ZAR),"R139,864.00",Congo,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in XAF,"5,906,500.00 Fr",Congo,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in XAF,"5,906,500.00 Fr",Congo,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,799.00",Cook Islands,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in NZD,"$15,214.00",Cook Islands,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in NZD,"$15,214.00",Cook Islands,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in CRC,"?5.971.700,00",Costa Rica,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Costa Rica,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in XOF,"5,900,800.00 CFA",Côte d'Ivoire,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Côte d'Ivoire,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer in Croatian Kuna (HRK),"kn65.410,00",Croatia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in HRK,"kn66.685,00",Croatia,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"kn65.410,00",Croatia,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.779,00 €",Cyprus,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.863,00 €",Cyprus,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.863,00 €",Cyprus,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.863,00 €",Cyprus,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.949,00 €",Cyprus,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.779,00 €",Cyprus,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in CZK,"K?232.966,00",Czech Republic,SUNY Jamestown Community College - FSA Residence Life
Bank Transfer from a Czech Koruna (CZK) Account,"K?227.922,00",Czech Republic,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"K?227.922,00",Czech Republic,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Danish Krone (DKK),"65.431,00 kr",Denmark,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in DKK,"66.063,00 kr",Denmark,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in DKK,"66.063,00 kr",Denmark,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"65.431,00 kr",Denmark,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XCD,"$28,500.00",Dominica,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominica,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in DOP,"$520,800.00",Dominican Republic,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominican Republic,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Ecuador,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in EGP,"?.?188,536.00",Egypt,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Egypt,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.782,00 €",Egypt,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",El Salvador,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XAF,"5,902,500.00 Fr",Equatorial Guinea,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Equatorial Guinea,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.781,00 €",Equatorial Guinea,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in ERN,"158,070.00 Nfk",Eritrea,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Eritrea,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.780,00 €",Estonia,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.865,00 €",Estonia,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.865,00 €",Estonia,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.865,00 €",Estonia,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.950,00 €",Estonia,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.780,00 €",Estonia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in ETB,"288,836.00 Br",Ethiopia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Ethiopia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.781,00 €",Ethiopia,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in FJD,"22,021.00 $",Fiji,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Fiji,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in FJD,"22,021.00 $",Fiji,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Fiji,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.780,00 €",Finland,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.865,00 €",Finland,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.865,00 €",Finland,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.865,00 €",Finland,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.950,00 €",Finland,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.780,00 €",Finland,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.780,00 €",France,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.865,00 €",France,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.865,00 €",France,SUNY Jamestown Community College - FSA Residence Life
American Express in EUR,"8.865,00 €",France,SUNY Jamestown Community College - FSA Residence Life
PayPal in EUR,"8.950,00 €",France,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.780,00 €",French Guiana,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XPF,"1,073,550.00 Fr",French Polynesia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",French Polynesia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in Euros (EUR),"8.779,00 €",French Polynesia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in New Zealand Dollar (NZD),"$14,799.00",French Polynesia,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",French Southern Territories,SUNY Jamestown Community College - FSA Residence Life
Debit/Credit Card in XAF,"5,901,300.00 Fr",Gabon,SUNY Jamestown Community College - FSA Residence Life
International Bank Transfer in US Dollars (USD),"$10,000.00",Gabon,SUNY Jamestown Community College - FSA Residence Life
Online Bank Transfer,"8.780,00 €",Germany,SUNY Jamestown Community College - FSA Residence Life
Domestic Bank Transfer in Euros (EUR),"8.780,00 €",Germany,SUNY Jamestown Community College - FSA Residence Life
VISA: Debit/Credit in EUR,"8.865,00 €",Germany,SUNY Jamestown Community College - FSA Residence Life
MasterCard: Debit/Credit in EUR,"8.865,00 €",Germany,SUNY Jamestown Community College - FSA Residence Life
